partner,warehouse,name_nom,price_deal,product_price,,2020-01,2020-02,2020-03,2021-01,2021-02,2021-03,All
Bennu heron,Средний Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.9469383893333336,134.92861000000002,05,0,0,0,60,0,0,60
Bennu heron,Средний Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.9469383893333336,134.92861000000002,28,0,0,0,0,0,120,120
Bennu heron,Средний Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.98837900933334,34.741461,30,0,0,0,0,0,24,24
Bermuda flicker,Матовый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.13180186666666,34.741461,10,0,0,0,0,12,0,12
Bermuda hawk,Матовый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),286.292162156,228.60458085714288,18,0,0,0,0,12,0,12
Bigfoot splayfoot salamander,Зеленый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.98837900933334,34.741461,30,0,0,0,0,0,6,6
Bing,Зеленый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.1247183426666667,134.92861000000002,28,0,0,0,0,60,0,60
Biscotti,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),9.892106187565894,19.58665592857143,04,0,0,0,0,6,0,6
Biscotti,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),9.892106187565894,19.58665592857143,09,7,0,0,0,0,0,7
Biscotti,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),9.892106187565894,19.58665592857143,11,0,0,0,0,0,12,12
Biscotti,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),9.892106187565894,19.58665592857143,15,0,0,0,0,18,0,18
Biscotti,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),9.892106187565894,19.58665592857143,16,0,0,0,0,12,0,12
Biscotti,Изумрудный Склад,Амортизатор кабины VOLVO (M6000518),9.892106187565894,19.58665592857143,24,0,12,0,0,0,42,54
Black bear,Средний Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.9654955,134.92861000000002,04,0,0,0,0,0,114,114
Black bear,Средний Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),99.13166020933333,34.741461,17,0,0,0,0,12,0,12
Black bear,Средний Склад,Ступица заднего колеса MERCEDES  о.н.000 350 0535 с подшипниками (M2202211),4.600180242666667,310.2826815,26,0,0,0,0,6,0,6
Black molly,Средний Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),100.664817528,21.58250657142857,29,0,0,6,0,0,0,6
Black ruby barb,Средний Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.89537512,134.92861000000002,02,0,0,0,0,30,0,30
Black ruby barb,Средний Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),1.89537512,134.92861000000002,18,0,0,0,60,0,0,60
Black ruby barb,Средний Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),96.513691032,21.58250657142857,16,0,0,6,0,0,0,6
Black ruby barb,Средний Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),96.513691032,21.58250657142857,23,0,0,6,0,0,0,6
Blackstripe corydoras,Изумрудный Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.9914896206666668,42.75521871428572,20,0,0,0,180,0,0,180
Blackstripe corydoras,Изумрудный Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),1.9914896206666668,42.75521871428572,28,120,0,0,0,0,0,120
Blackstripe corydoras,Изумрудный Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),89.80989938933334,21.58250657142857,29,12,0,0,0,0,0,12
Blacktop corydoras,Большой Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),80.51802826666666,21.58250657142857,10,0,0,0,0,6,0,6
Bleeding Heart,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.0697879874871794,42.755218714285725,21,42,0,0,0,0,0,42
Bleeding Heart,Розовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.0697879874871794,42.755218714285725,23,0,0,0,0,0,120,120
Bleeding Heart,Розовый Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.2486685093333336,134.92861000000002,29,30,0,0,0,0,0,30
Bleu Des Causses,Средний Склад,Накладка крыла серый пластик лев SCANIA о.н.1431931 (M3130937),81.50537988,21.58250657142857,05,0,6,0,0,0,0,6
Bleu Des Causses,Средний Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.6627088,34.741461,29,0,0,0,0,0,12,12
Bleu d'Auvergne,Большой Склад,Барабан тормозной BPW о.н.0310687120 (M1900179),2.0391573133333334,134.92861000000002,05,0,0,0,0,60,0,60
Bleu de Gex,Малый Склад,Амортизатор кабины VOLVO (M6000518),8.967617486666667,19.58665592857143,03,0,0,0,0,0,6,6
Bleu de Gex,Малый Склад,Амортизатор кабины VOLVO (M6000518),8.967617486666667,19.58665592857143,05,0,0,0,6,0,0,6
Bleu de Gex,Малый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.24255314933333,34.741461,23,0,0,0,0,0,24,24
Bleu de Gex,Малый Склад,Рамка фары черный пластик лев VOLVO о.н.20452886 (M3141224) (уценка) (У2),110.24255314933333,34.741461,26,0,0,0,0,0,6,6
Bleu de Gex,Матовый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),298.482908948,228.60458085714288,06,0,6,0,0,0,0,6
Bleu de Laqueuille,Матовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.26510076,42.75521871428572,02,0,0,120,0,0,0,120
Bleu de Laqueuille,Матовый Склад,Барабан тормозной BPW о.н.0310546030 (M1900180),2.26510076,42.75521871428572,13,0,0,120,0,0,0,120
Bleu de Laqueuille,Матовый Склад,Рамка фары черный пластик лев VOLVO о.н.20453930 (M3141232),89.848855156,5.737122,05,0,0,36,0,0,0,36
Blue Albion,Матовый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),268.5620942204444,228.60458085714288,09,0,0,0,0,0,6,6
Blue Albion,Матовый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),268.5620942204444,228.60458085714288,10,0,0,0,0,0,12,12
Blue Albion,Матовый Склад,Бампер AD/AT белый пластик IVECO о.н.504186932 (M3060116),268.5620942204444,228.60458085714288,15,0,0,0,6,0,0,6
